"Breakthru Bev. MN Wine & Spirit,",,,,,,,
,,,,,,,
Cases,Bottles,Material,Size,Description,Pack,Price,Extended
168,,9326987,750ML,FITVINE CAB SAUV 750ML,12,$84.00 ,"$14,112.00 "
56,,9326986,750ML,FITVINE CHARD 750ML,12,$84.00 ,"$4,704.00 "
56,,9326991,750ML,FITVINE SAUV BL 750ML,12,$84.00 ,"$4,704.00 "
28,,9326988,750ML,FITVINE P GRIGIO 750ML,12,$84.00 ,"$2,352.00 "
28,,9609584,750ML,FITVINE RED BLEND 750ML,12,$84.00 ,"$2,352.00 "
28,,9436010,187ML,FITVINE CAB SAUV PET 24B 187ML,24,$48.00 ,"$1,344.00 "
28,,9436042,187ML,FITVINE P GRIGIO PET 24B 187ML,24,$48.00 ,"$1,344.00 "
28,,9612900,187ML,FITVINE ROSE PET 24B 187ML,24,$48.00 ,"$1,344.00 "
14,,9357028,750ML,FITVINE PROSECCO 750ML,12,$103.00 ,"$1,442.00 "
