SGWS of Kansas,,,,,,,
,,,,,,,
UNIT,,,,,UNIT,ORDER,
SG ITEM #,PK / SZ,CS/PALLET,PRODUCT DESCRIPTION,COST,WEIGHT,QUANTITY,
,,,,,,,
523741,12/750ML,40 cs/pl,FITVINE ROSE 20,85,39,20,CS
531414,12/750ML,56 cs/pl,FITVINE CHARDONNAY,85,38.4,28,CS
531545,12/750ML,56 cs/pl,FITVINE CABERNET SAUVIGNON,85,38.4,56,CS
934628,12/750ML,40 cs/pl,FITVINE PROSECCO,103,40.8,20,CS
951414,12/750ML,56 cs/pl,FITVINE PINOT GRIGIO,85,38.4,56,CS
951415,12/750ML,56 cs/pl,FITVINE SAUVIGNON BLANC,85,38.4,56,CS
953931,12/750ML,56 cs/pl,FITVINE PINOT NOIR,103,38.4,42,CS
972352,24/187ML,105 cs/pl,FITVINE CHARDONNAY(SC)24PK,54,12.25,1,CS
990103,12/750ML,56 cs/pl,FITVINE RED BLEND,85,38,28,CS
