Brand No,Quantity,Pack Description,,Unit Cost,Weight,
1,8331397,108 cas,12 FITVINE P NOIR CALI NUPC,750ML,103.2,4147.2
,,8.53086E+11,,,,
2,8332399,168 cas,12 FITVINE CHARD CALI NUPC +14,750ML,85.2,6451.2
,,8.53086E+11,,,,
3,8334397,168 cas,12 FITVINE P GRIGIO CALI NUPC,750ML,85.2,6451.2
,,8.53086E+11,,,,
4,8335400,14 cas,12 FITVINE ROSE CALI,750ML,103.2,537.6
,,8.53086E+11,2020 Y,,,
5,8336396,5 cas,12 FITVINE HOLIDAY RED,750ML,150,195
,,8.53086E+11,2016 Y,,,
6,8337396,120 cas,12 FITVINE PROSECCO BRUT,750ML,103.2,4896
,,8.53086E+11,,,,
7,8338396,30 cas,12 FITVINE RED BLEND,750ML,85.2,1140
,,8.53086E+11,,,,
